Year,Sex,Age Group,Race or Ethnicity,Selected Cause of Death,Deaths
2003,F,25-34,Not Stated,AIDS,1
2003,F,25-34,Not Stated,All Other Causes,2
2003,F,25-34,Not Stated,Accidents,3
2003,F,25-34,Not Stated,Malignant Neoplasms,3
2003,F,25-34,Not Stated,Total,9
2003,F,25-34,Other Non Hispanic,Cerebrovascular Disease,1
2003,F,25-34,Other Non Hispanic,Diseases of the Heart,1
2003,F,25-34,Other Non Hispanic,Accidents,8
2003,F,25-34,Other Non Hispanic,Malignant Neoplasms,10
2003,F,25-34,Other Non Hispanic,All Other Causes,20
2003,F,25-34,Other Non Hispanic,Total,40
2003,F,25-34,White Non Hispanic,CLRD,2
2003,F,25-34,White Non Hispanic,Diabetes Mellitus,2
2003,F,25-34,White Non Hispanic,Pneumonia,4
2003,F,25-34,White Non Hispanic,AIDS,5
2003,F,25-34,White Non Hispanic,Cerebrovascular Disease,6
2003,F,25-34,White Non Hispanic,Diseases of the Heart,38
2003,F,25-34,White Non Hispanic,Accidents,56
2003,F,25-34,White Non Hispanic,Malignant Neoplasms,68
2003,F,25-34,White Non Hispanic,All Other Causes,132
2003,F,25-34,White Non Hispanic,Total,313
2003,F,35-44,Black Non Hispanic,Diabetes Mellitus,3
2003,F,35-44,Black Non Hispanic,CLRD,8
2003,F,35-44,Black Non Hispanic,Pneumonia,13
2003,F,35-44,Black Non Hispanic,Accidents,21
2003,F,35-44,Black Non Hispanic,Cerebrovascular Disease,22
2003,F,35-44,Black Non Hispanic,Diseases of the Heart,78
2003,F,35-44,Black Non Hispanic,AIDS,124
2003,F,35-44,Black Non Hispanic,Malignant Neoplasms,150
2003,F,35-44,Black Non Hispanic,All Other Causes,218
2003,F,35-44,Black Non Hispanic,Total,637
2003,F,35-44,Hispanic,Diabetes Mellitus,2
2003,F,35-44,Hispanic,CLRD,6
2003,F,35-44,Hispanic,Pneumonia,6
2003,F,35-44,Hispanic,Cerebrovascular Disease,8
2003,F,35-44,Hispanic,Accidents,17
2003,F,35-44,Hispanic,Diseases of the Heart,21
2003,F,35-44,Hispanic,AIDS,66
2003,F,35-44,Hispanic,Malignant Neoplasms,81
2003,F,35-44,Hispanic,All Other Causes,112
2003,F,35-44,Hispanic,Total,319
2003,F,35-44,Not Stated,Pneumonia,1
2003,F,35-44,Not Stated,Cerebrovascular Disease,2
2003,F,35-44,Not Stated,Diseases of the Heart,3
2003,F,35-44,Not Stated,Accidents,4
2003,F,35-44,Not Stated,AIDS,6
2003,F,35-44,Not Stated,All Other Causes,12
2003,F,35-44,Not Stated,Malignant Neoplasms,13
2003,F,35-44,Not Stated,Total,41
2003,F,35-44,Other Non Hispanic,AIDS,1
2003,F,35-44,Other Non Hispanic,Accidents,2
2003,F,35-44,Other Non Hispanic,Diseases of the Heart,4
2003,F,35-44,Other Non Hispanic,All Other Causes,15
2003,F,35-44,Other Non Hispanic,Malignant Neoplasms,32
2003,F,35-44,Other Non Hispanic,Total,54
2003,F,35-44,White Non Hispanic,Diabetes Mellitus,8
2003,F,35-44,White Non Hispanic,CLRD,15
2003,F,35-44,White Non Hispanic,Pneumonia,15
2003,F,35-44,White Non Hispanic,Cerebrovascular Disease,16
2003,F,35-44,White Non Hispanic,AIDS,35
2003,F,35-44,White Non Hispanic,Accidents,96
2003,F,35-44,White Non Hispanic,Diseases of the Heart,101
2003,F,35-44,White Non Hispanic,Malignant Neoplasms,309
2003,F,35-44,White Non Hispanic,All Other Causes,316
2003,F,35-44,White Non Hispanic,Total,911
2003,F,45-54,Black Non Hispanic,Diabetes Mellitus,9
2003,F,45-54,Black Non Hispanic,CLRD,22
2003,F,45-54,Black Non Hispanic,Pneumonia,23
2003,F,45-54,Black Non Hispanic,Accidents,32
2003,F,45-54,Black Non Hispanic,Cerebrovascular Disease,44
2003,F,45-54,Black Non Hispanic,AIDS,107
2003,F,45-54,Black Non Hispanic,Diseases of the Heart,208
2003,F,45-54,Black Non Hispanic,Malignant Neoplasms,332
2003,F,45-54,Black Non Hispanic,All Other Causes,339
2003,F,45-54,Black Non Hispanic,Total,1116
2003,F,45-54,Hispanic,Diabetes Mellitus,4
2003,F,45-54,Hispanic,CLRD,10
2003,F,45-54,Hispanic,Pneumonia,11
2003,F,45-54,Hispanic,Accidents,17
2003,F,45-54,Hispanic,Cerebrovascular Disease,23
2003,F,45-54,Hispanic,AIDS,49
2003,F,45-54,Hispanic,Diseases of the Heart,68
2003,F,45-54,Hispanic,Malignant Neoplasms,152
2003,F,45-54,Hispanic,All Other Causes,165
2003,F,45-54,Hispanic,Total,499
2003,F,45-54,Not Stated,Pneumonia,1
2003,F,45-54,Not Stated,CLRD,2
2003,F,45-54,Not Stated,Cerebrovascular Disease,4
2003,F,45-54,Not Stated,AIDS,6
2003,F,45-54,Not Stated,Diseases of the Heart,15
2003,F,45-54,Not Stated,All Other Causes,21
2003,F,45-54,Not Stated,Malignant Neoplasms,30
2003,F,45-54,Not Stated,Total,79
2003,F,45-54,Other Non Hispanic,AIDS,1
2003,F,45-54,Other Non Hispanic,CLRD,1
2003,F,45-54,Other Non Hispanic,Pneumonia,1
2003,F,45-54,Other Non Hispanic,Cerebrovascular Disease,4
2003,F,45-54,Other Non Hispanic,Accidents,6
2003,F,45-54,Other Non Hispanic,Diseases of the Heart,14
2003,F,45-54,Other Non Hispanic,All Other Causes,29
2003,F,45-54,Other Non Hispanic,Malignant Neoplasms,52
2003,F,45-54,Other Non Hispanic,Total,108
2003,F,45-54,White Non Hispanic,Diabetes Mellitus,11
2003,F,45-54,White Non Hispanic,AIDS,28
2003,F,45-54,White Non Hispanic,Pneumonia,34
2003,F,45-54,White Non Hispanic,CLRD,46
2003,F,45-54,White Non Hispanic,Cerebrovascular Disease,73
2003,F,45-54,White Non Hispanic,Accidents,123
2003,F,45-54,White Non Hispanic,Diseases of the Heart,371
2003,F,45-54,White Non Hispanic,All Other Causes,596
2003,F,45-54,White Non Hispanic,Malignant Neoplasms,1038
2003,F,45-54,White Non Hispanic,Total,2320
2003,F,55-64,Black Non Hispanic,Diabetes Mellitus,10
2003,F,55-64,Black Non Hispanic,Accidents,18
2003,F,55-64,Black Non Hispanic,AIDS,24
2003,F,55-64,Black Non Hispanic,Pneumonia,28
2003,F,55-64,Black Non Hispanic,CLRD,34
2003,F,55-64,Black Non Hispanic,Cerebrovascular Disease,54
2003,F,55-64,Black Non Hispanic,All Other Causes,320
2003,F,55-64,Black Non Hispanic,Diseases of the Heart,414
2003,F,55-64,Black Non Hispanic,Malignant Neoplasms,492
2003,F,55-64,Black Non Hispanic,Total,1394
2003,F,55-64,Hispanic,Diabetes Mellitus,7
2003,F,55-64,Hispanic,CLRD,14
2003,F,55-64,Hispanic,AIDS,15
2003,F,55-64,Hispanic,Accidents,16
2003,F,55-64,Hispanic,Pneumonia,17
2003,F,55-64,Hispanic,Cerebrovascular Disease,21
2003,F,55-64,Hispanic,All Other Causes,135
2003,F,55-64,Hispanic,Diseases of the Heart,156
2003,F,55-64,Hispanic,Malignant Neoplasms,231
2003,F,55-64,Hispanic,Total,612
2003,F,55-64,Not Stated,CLRD,1
2003,F,55-64,Not Stated,Diabetes Mellitus,1
2003,F,55-64,Not Stated,Cerebrovascular Disease,2
2003,F,55-64,Not Stated,AIDS,3
2003,F,55-64,Not Stated,Pneumonia,5
2003,F,55-64,Not Stated,All Other Causes,24
2003,F,55-64,Not Stated,Diseases of the Heart,26
2003,F,55-64,Not Stated,Malignant Neoplasms,43
2003,F,55-64,Not Stated,Total,105
2003,F,55-64,Other Non Hispanic,Accidents,3
2003,F,55-64,Other Non Hispanic,Diabetes Mellitus,3
2003,F,55-64,Other Non Hispanic,Pneumonia,4
2003,F,55-64,Other Non Hispanic,CLRD,9
2003,F,55-64,Other Non Hispanic,Cerebrovascular Disease,10
2003,F,55-64,Other Non Hispanic,Diseases of the Heart,24
2003,F,55-64,Other Non Hispanic,All Other Causes,36
2003,F,55-64,Other Non Hispanic,Malignant Neoplasms,66
2003,F,55-64,Other Non Hispanic,Total,155
2003,F,55-64,White Non Hispanic,AIDS,7
2003,F,55-64,White Non Hispanic,Diabetes Mellitus,23
2003,F,55-64,White Non Hispanic,Pneumonia,62
2003,F,55-64,White Non Hispanic,Accidents,90
2003,F,55-64,White Non Hispanic,Cerebrovascular Disease,110
2003,F,55-64,White Non Hispanic,CLRD,221
2003,F,55-64,White Non Hispanic,Diseases of the Heart,848
2003,F,55-64,White Non Hispanic,All Other Causes,873
2003,F,55-64,White Non Hispanic,Malignant Neoplasms,2191
2003,F,55-64,White Non Hispanic,Total,4425
2003,F,65-74,Black Non Hispanic,AIDS,11
2003,F,65-74,Black Non Hispanic,Accidents,13
2003,F,65-74,Black Non Hispanic,Diabetes Mellitus,30
2003,F,65-74,Black Non Hispanic,Pneumonia,48
2003,F,65-74,Black Non Hispanic,CLRD,55
2003,F,65-74,Black Non Hispanic,Cerebrovascular Disease,106
2003,F,65-74,Black Non Hispanic,All Other Causes,410
2003,F,65-74,Black Non Hispanic,Malignant Neoplasms,579
2003,F,65-74,Black Non Hispanic,Diseases of the Heart,684
2003,F,65-74,Black Non Hispanic,Total,1936
2003,F,65-74,Hispanic,AIDS,5
2003,F,65-74,Hispanic,Accidents,11
2003,F,65-74,Hispanic,Diabetes Mellitus,13
2003,F,65-74,Hispanic,CLRD,26
2003,F,65-74,Hispanic,Cerebrovascular Disease,31
2003,F,65-74,Hispanic,Pneumonia,49
2003,F,65-74,Hispanic,All Other Causes,249
2003,F,65-74,Hispanic,Malignant Neoplasms,270
2003,F,65-74,Hispanic,Diseases of the Heart,327
2003,F,65-74,Hispanic,Total,981
2003,F,65-74,Not Stated,Pneumonia,2
2003,F,65-74,Not Stated,Accidents,3
2003,F,65-74,Not Stated,CLRD,6
2003,F,65-74,Not Stated,Cerebrovascular Disease,9
2003,F,65-74,Not Stated,All Other Causes,27
2003,F,65-74,Not Stated,Diseases of the Heart,50
2003,F,65-74,Not Stated,Malignant Neoplasms,65
2003,F,65-74,Not Stated,Total,162
2003,F,65-74,Other Non Hispanic,Diabetes Mellitus,4
2003,F,65-74,Other Non Hispanic,Pneumonia,5
2003,F,65-74,Other Non Hispanic,CLRD,7
2003,F,65-74,Other Non Hispanic,Accidents,10
2003,F,65-74,Other Non Hispanic,Cerebrovascular Disease,21
2003,F,65-74,Other Non Hispanic,All Other Causes,59
2003,F,65-74,Other Non Hispanic,Diseases of the Heart,64
2003,F,65-74,Other Non Hispanic,Malignant Neoplasms,87
2003,F,65-74,Other Non Hispanic,Total,257
2003,F,65-74,White Non Hispanic,AIDS,2
2003,F,65-74,White Non Hispanic,Diabetes Mellitus,49
2003,F,65-74,White Non Hispanic,Accidents,109
2003,F,65-74,White Non Hispanic,Pneumonia,155
2003,F,65-74,White Non Hispanic,Cerebrovascular Disease,322
2003,F,65-74,White Non Hispanic,CLRD,657
2003,F,65-74,White Non Hispanic,All Other Causes,1632
2003,F,65-74,White Non Hispanic,Diseases of the Heart,2178
2003,F,65-74,White Non Hispanic,Malignant Neoplasms,3248
2003,F,65-74,White Non Hispanic,Total,8352
2003,F,75-84,Black Non Hispanic,AIDS,1
2003,F,75-84,Black Non Hispanic,Accidents,20
2003,F,75-84,Black Non Hispanic,Diabetes Mellitus,34
2003,F,75-84,Black Non Hispanic,CLRD,79
2003,F,75-84,Black Non Hispanic,Pneumonia,102
2003,F,75-84,Black Non Hispanic,Cerebrovascular Disease,137
2003,F,75-84,Black Non Hispanic,Malignant Neoplasms,502
2003,F,75-84,Black Non Hispanic,All Other Causes,566
2003,F,75-84,Black Non Hispanic,Diseases of the Heart,1076
2003,F,75-84,Black Non Hispanic,Total,2517
2003,F,75-84,Hispanic,Diabetes Mellitus,15
2003,F,75-84,Hispanic,Accidents,17
2003,F,75-84,Hispanic,CLRD,49
2003,F,75-84,Hispanic,Pneumonia,72
2003,F,75-84,Hispanic,Cerebrovascular Disease,77
2003,F,75-84,Hispanic,Malignant Neoplasms,239
2003,F,75-84,Hispanic,All Other Causes,264
2003,F,75-84,Hispanic,Diseases of the Heart,522
2003,F,75-84,Hispanic,Total,1255
2003,F,75-84,Not Stated,Accidents,2
2003,F,75-84,Not Stated,Diabetes Mellitus,3
2003,F,75-84,Not Stated,CLRD,12
2003,F,75-84,Not Stated,Cerebrovascular Disease,12
2003,F,75-84,Not Stated,Pneumonia,16
2003,F,75-84,Not Stated,Malignant Neoplasms,61
2003,F,75-84,Not Stated,All Other Causes,71
2003,F,75-84,Not Stated,Diseases of the Heart,135
2003,F,75-84,Not Stated,Total,312
2003,F,75-84,Other Non Hispanic,Diabetes Mellitus,3
2003,F,75-84,Other Non Hispanic,CLRD,9
2003,F,75-84,Other Non Hispanic,Accidents,11
2003,F,75-84,Other Non Hispanic,Pneumonia,15
2003,F,75-84,Other Non Hispanic,Cerebrovascular Disease,34
2003,F,75-84,Other Non Hispanic,All Other Causes,75
2003,F,75-84,Other Non Hispanic,Malignant Neoplasms,81
2003,F,75-84,Other Non Hispanic,Diseases of the Heart,154
2003,F,75-84,Other Non Hispanic,Total,382
2003,F,75-84,White Non Hispanic,Diabetes Mellitus,88
2003,F,75-84,White Non Hispanic,Accidents,264
2003,F,75-84,White Non Hispanic,Pneumonia,608
2003,F,75-84,White Non Hispanic,Cerebrovascular Disease,1130
2003,F,75-84,White Non Hispanic,CLRD,1226
2003,F,75-84,White Non Hispanic,All Other Causes,4085
2003,F,75-84,White Non Hispanic,Malignant Neoplasms,4661
2003,F,75-84,White Non Hispanic,Diseases of the Heart,6727
2003,F,75-84,White Non Hispanic,Total,18789
2003,F,85+,Black Non Hispanic,Accidents,12
2003,F,85+,Black Non Hispanic,Diabetes Mellitus,12
2003,F,85+,Black Non Hispanic,CLRD,51
2003,F,85+,Black Non Hispanic,Cerebrovascular Disease,124
2003,F,85+,Black Non Hispanic,Pneumonia,168
2003,F,85+,Black Non Hispanic,Malignant Neoplasms,268
2003,F,85+,Black Non Hispanic,All Other Causes,513
2003,F,85+,Black Non Hispanic,Diseases of the Heart,1249
2003,F,85+,Black Non Hispanic,Total,2397
2003,F,85+,Hispanic,Accidents,12
2003,F,85+,Hispanic,Diabetes Mellitus,13
2003,F,85+,Hispanic,CLRD,36
2003,F,85+,Hispanic,Cerebrovascular Disease,48
2003,F,85+,Hispanic,Pneumonia,92
2003,F,85+,Hispanic,Malignant Neoplasms,129
2003,F,85+,Hispanic,All Other Causes,239
2003,F,85+,Hispanic,Diseases of the Heart,645
2003,F,85+,Hispanic,Total,1214
2003,F,85+,Not Stated,Accidents,2
2003,F,85+,Not Stated,Diabetes Mellitus,6
2003,F,85+,Not Stated,Cerebrovascular Disease,13
2003,F,85+,Not Stated,CLRD,20
2003,F,85+,Not Stated,Malignant Neoplasms,27
2003,F,85+,Not Stated,Pneumonia,30
2003,F,85+,Not Stated,All Other Causes,61
2003,F,85+,Not Stated,Diseases of the Heart,247
2003,F,85+,Not Stated,Total,406
2003,F,85+,Other Non Hispanic,Diabetes Mellitus,2
2003,F,85+,Other Non Hispanic,Accidents,4
2003,F,85+,Other Non Hispanic,CLRD,14
2003,F,85+,Other Non Hispanic,Cerebrovascular Disease,23
2003,F,85+,Other Non Hispanic,Pneumonia,38
2003,F,85+,Other Non Hispanic,Malignant Neoplasms,48
2003,F,85+,Other Non Hispanic,All Other Causes,61
2003,F,85+,Other Non Hispanic,Diseases of the Heart,205
2003,F,85+,Other Non Hispanic,Total,395
2003,F,85+,White Non Hispanic,Diabetes Mellitus,109
2003,F,85+,White Non Hispanic,Accidents,374
2003,F,85+,White Non Hispanic,CLRD,996
2003,F,85+,White Non Hispanic,Pneumonia,1367
2003,F,85+,White Non Hispanic,Cerebrovascular Disease,1888
2003,F,85+,White Non Hispanic,Malignant Neoplasms,2786
2003,F,85+,White Non Hispanic,All Other Causes,6541
2003,F,85+,White Non Hispanic,Diseases of the Heart,13682
2003,F,85+,White Non Hispanic,Total,27743
2003,F,<1,Black Non Hispanic,CLRD,1
2003,F,<1,Black Non Hispanic,Cerebrovascular Disease,1
2003,F,<1,Black Non Hispanic,Diseases of the Heart,1
2003,F,<1,Black Non Hispanic,Pneumonia,2
2003,F,<1,Black Non Hispanic,Accidents,4
2003,F,<1,Black Non Hispanic,All Other Causes,227
2003,F,<1,Black Non Hispanic,Total,236
2003,F,<1,Hispanic,Malignant Neoplasms,1
2003,F,<1,Hispanic,Accidents,2
2003,F,<1,Hispanic,Diseases of the Heart,4
2003,F,<1,Hispanic,All Other Causes,123
2003,F,<1,Hispanic,Total,130
2003,F,<1,Not Stated,Diseases of the Heart,1
2003,F,<1,Not Stated,All Other Causes,8
2003,F,<1,Not Stated,Total,9
2003,F,<1,Other Non Hispanic,Diseases of the Heart,2
2003,F,<1,Other Non Hispanic,All Other Causes,29
2003,F,<1,Other Non Hispanic,Total,31
2003,F,<1,White Non Hispanic,Cerebrovascular Disease,2
2003,F,<1,White Non Hispanic,Malignant Neoplasms,2
2003,F,<1,White Non Hispanic,Pneumonia,3
2003,F,<1,White Non Hispanic,Diseases of the Heart,5
2003,F,<1,White Non Hispanic,Accidents,6
2003,F,<1,White Non Hispanic,All Other Causes,248
2003,F,<1,White Non Hispanic,Total,266
2003,M,1-9,Black Non Hispanic,Cerebrovascular Disease,1
2003,M,1-9,Black Non Hispanic,AIDS,2
2003,M,1-9,Black Non Hispanic,Diseases of the Heart,3
2003,M,1-9,Black Non Hispanic,CLRD,6
2003,M,1-9,Black Non Hispanic,Malignant Neoplasms,7
2003,M,1-9,Black Non Hispanic,Accidents,8
2003,M,1-9,Black Non Hispanic,All Other Causes,22
2003,M,1-9,Black Non Hispanic,Total,49
2003,M,1-9,Hispanic,Cerebrovascular Disease,1
2003,M,1-9,Hispanic,Pneumonia,2
2003,M,1-9,Hispanic,Diseases of the Heart,7
2003,M,1-9,Hispanic,Malignant Neoplasms,7
2003,M,1-9,Hispanic,Accidents,8
2003,M,1-9,Hispanic,All Other Causes,15
2003,M,1-9,Hispanic,Total,40
2003,M,1-9,Not Stated,Accidents,1
2003,M,1-9,Not Stated,All Other Causes,2
2003,M,1-9,Not Stated,Total,3
2003,M,1-9,Other Non Hispanic,Accidents,1
2003,M,1-9,Other Non Hispanic,Cerebrovascular Disease,1
2003,M,1-9,Other Non Hispanic,Malignant Neoplasms,1
2003,M,1-9,Other Non Hispanic,All Other Causes,3
2003,M,1-9,Other Non Hispanic,Total,6
2003,M,1-9,White Non Hispanic,CLRD,1
2003,M,1-9,White Non Hispanic,Cerebrovascular Disease,1
2003,M,1-9,White Non Hispanic,Pneumonia,3
2003,M,1-9,White Non Hispanic,Diseases of the Heart,6
2003,M,1-9,White Non Hispanic,Malignant Neoplasms,16
2003,M,1-9,White Non Hispanic,Accidents,29
2003,M,1-9,White Non Hispanic,All Other Causes,35
2003,M,1-9,White Non Hispanic,Total,91
2003,M,10-19,Black Non Hispanic,AIDS,3
2003,M,10-19,Black Non Hispanic,Cerebrovascular Disease,4
2003,M,10-19,Black Non Hispanic,Malignant Neoplasms,5
2003,M,10-19,Black Non Hispanic,CLRD,7
2003,M,10-19,Black Non Hispanic,Diseases of the Heart,7
2003,M,10-19,Black Non Hispanic,Accidents,19
2003,M,10-19,Black Non Hispanic,All Other Causes,106
2003,M,10-19,Black Non Hispanic,Total,151
2003,M,10-19,Hispanic,Diseases of the Heart,3
2003,M,10-19,Hispanic,CLRD,4
2003,M,10-19,Hispanic,Malignant Neoplasms,7
2003,M,10-19,Hispanic,Accidents,31
2003,M,10-19,Hispanic,All Other Causes,65
2003,M,10-19,Hispanic,Total,110
2003,M,10-19,Not Stated,Accidents,1
2003,M,10-19,Not Stated,Malignant Neoplasms,2
2003,M,10-19,Not Stated,All Other Causes,4
2003,M,10-19,Not Stated,Total,7
2003,M,10-19,Other Non Hispanic,Diseases of the Heart,1
2003,M,10-19,Other Non Hispanic,Malignant Neoplasms,2
2003,M,10-19,Other Non Hispanic,Accidents,4
2003,M,10-19,Other Non Hispanic,All Other Causes,9
2003,M,10-19,Other Non Hispanic,Total,16
2003,M,10-19,White Non Hispanic,AIDS,1
2003,M,10-19,White Non Hispanic,CLRD,1
2003,M,10-19,White Non Hispanic,Cerebrovascular Disease,2
2003,M,10-19,White Non Hispanic,Pneumonia,2
2003,M,10-19,White Non Hispanic,Diseases of the Heart,8
2003,M,10-19,White Non Hispanic,Malignant Neoplasms,23
2003,M,10-19,White Non Hispanic,All Other Causes,111
2003,M,10-19,White Non Hispanic,Accidents,153
2003,M,10-19,White Non Hispanic,Total,301
2003,M,20-24,Black Non Hispanic,CLRD,1
2003,M,20-24,Black Non Hispanic,Cerebrovascular Disease,2
2003,M,20-24,Black Non Hispanic,AIDS,4
2003,M,20-24,Black Non Hispanic,Diseases of the Heart,11
2003,M,20-24,Black Non Hispanic,Malignant Neoplasms,11
2003,M,20-24,Black Non Hispanic,Accidents,21
2003,M,20-24,Black Non Hispanic,All Other Causes,166
2003,M,20-24,Black Non Hispanic,Total,216
2003,M,20-24,Hispanic,CLRD,1
2003,M,20-24,Hispanic,AIDS,2
2003,M,20-24,Hispanic,Cerebrovascular Disease,2
2003,M,20-24,Hispanic,Diseases of the Heart,6
2003,M,20-24,Hispanic,Malignant Neoplasms,9
2003,M,20-24,Hispanic,Accidents,40
2003,M,20-24,Hispanic,All Other Causes,84
2003,M,20-24,Hispanic,Total,144
2003,M,20-24,Not Stated,Accidents,1
2003,M,20-24,Not Stated,All Other Causes,4
2003,M,20-24,Not Stated,Malignant Neoplasms,4
2003,M,20-24,Not Stated,Total,9
